<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01.09.2020,10:00:00,109743,114915,107916,109231,60
01.09.2020,10:01:00,108279,115208,107939,112535,36
01.09.2020,10:02:00,111109,115290,108140,112093,6
01.09.2020,10:03:00,112880,115281,108092,114382,57
01.09.2020,10:04:00,108589,115124,107902,114582,20
01.09.2020,10:05:00,112885,115255,108199,109106,95
01.09.2020,10:06:00,108816,115278,107988,109840,40
01.09.2020,10:07:00,109770,115281,107962,113448,39
01.09.2020,10:08:00,110949,115023,108012,109544,41
01.09.2020,10:09:00,111502,114936,107961,110903,4
01.09.2020,10:10:00,110549,115065,107947,113326,80
01.09.2020,10:11:00,112309,115188,108089,109611,98
01.09.2020,10:12:00,108096,115217,107935,110917,83
01.09.2020,10:13:00,112157,115250,108079,112133,9
01.09.2020,10:14:00,109660,115275,108233,112181,92
01.09.2020,10:15:00,111007,115291,108009,108359,13
01.09.2020,10:16:00,111088,114963,108171,112478,76
01.09.2020,10:17:00,109834,115258,108025,112908,14
01.09.2020,10:18:00,111273,115246,108039,114262,2
01.09.2020,10:19:00,111346,115287,107994,113823,86
01.09.2020,10:20:00,110763,115020,107952,112843,97
01.09.2020,10:21:00,110095,115188,108503,113152,26
01.09.2020,10:22:00,111144,115286,107929,108718,21
01.09.2020,10:23:00,111225,115049,108460,111148,41
01.09.2020,10:24:00,113491,115252,107932,108365,56
01.09.2020,10:25:00,110960,115075,107907,108114,19
01.09.2020,10:26:00,110343,115246,107907,115040,69
01.09.2020,10:27:00,112213,115298,107961,112593,53
01.09.2020,10:28:00,114410,115161,108340,108879,31
01.09.2020,10:29:00,114353,115160,107913,113742,41
01.09.2020,10:30:00,108553,115169,107942,111667,29
01.09.2020,10:31:00,112411,115156,107975,111297,86
01.09.2020,10:32:00,113088,115138,108069,113517,12
01.09.2020,10:33:00,113182,115202,107914,112615,14
01.09.2020,10:34:00,114420,115196,108032,115196,94
01.09.2020,10:35:00,110087,115114,107985,112676,28
01.09.2020,10:36:00,112684,115273,107902,109961,36
01.09.2020,10:37:00,110680,115265,107945,114251,49
01.09.2020,10:38:00,108192,115210,108006,114829,63
01.09.2020,10:39:00,107998,115104,107926,111254,86
01.09.2020,10:40:00,112245,115249,108003,112562,56
01.09.2020,10:41:00,112772,115293,107909,115293,44
01.09.2020,10:42:00,108100,114720,108100,111519,20
01.09.2020,10:43:00,112802,115199,108241,112213,17
01.09.2020,10:44:00,112752,115195,107937,115053,83
01.09.2020,10:45:00,111449,115268,107903,113137,28
01.09.2020,10:46:00,110521,115230,107904,113797,14
01.09.2020,10:47:00,109644,115210,107963,114021,48
01.09.2020,10:48:00,110561,115031,107900,114466,40
01.09.2020,10:49:00,107922,115284,107922,112115,27
01.09.2020,10:50:00,112408,115196,107925,114667,61
01.09.2020,10:51:00,113248,115297,108001,111342,79
01.09.2020,10:52:00,114665,115297,107968,111945,83
01.09.2020,10:53:00,108849,114983,107962,114677,21
01.09.2020,10:54:00,108184,115111,107932,108242,40
01.09.2020,10:55:00,110947,115252,108104,109463,31
01.09.2020,10:56:00,114437,115262,107983,109282,24
01.09.2020,10:57:00,113339,115202,107943,112741,50
01.09.2020,10:58:00,110303,115177,107960,109120,15
01.09.2020,10:59:00,111210,115296,107957,114803,49
01.09.2020,11:00:00,109374,115049,107950,110830,87
01.09.2020,11:01:00,113826,115285,107964,110240,54
01.09.2020,11:02:00,109797,115206,108140,109438,97
01.09.2020,11:03:00,111231,115221,108036,111206,35
01.09.2020,11:04:00,108592,115229,108055,110133,63
01.09.2020,11:05:00,109713,115084,107985,110371,88
01.09.2020,11:06:00,113381,115298,108091,115298,14
01.09.2020,11:07:00,107995,115136,107915,114438,67
01.09.2020,11:08:00,112592,115273,108286,109447,98
01.09.2020,11:09:00,108981,115036,108186,114824,89
01.09.2020,11:10:00,113035,115248,107941,108321,88
01.09.2020,11:11:00,113429,115218,108076,110372,33
01.09.2020,11:12:00,114009,115153,108255,108372,13
01.09.2020,11:13:00,108436,115247,107920,111707,73
01.09.2020,11:14:00,112214,115224,108021,114836,44
01.09.2020,11:15:00,108939,115200,108020,115004,4
01.09.2020,11:16:00,110336,115223,108167,109645,25
01.09.2020,11:17:00,112376,115287,107956,113926,54
01.09.2020,11:19:00,108766,115299,107934,113821,74
01.09.2020,11:20:00,113411,115207,108008,112853,26
01.09.2020,11:21:00,108257,115144,107953,111570,57
01.09.2020,11:22:00,112554,115281,108001,108269,30
01.09.2020,11:23:00,114191,115186,107983,114911,53
01.09.2020,11:24:00,108055,115184,108055,110014,81
01.09.2020,11:25:00,109238,115207,108074,111797,67
01.09.2020,11:26:00,110430,115174,107948,109256,49
01.09.2020,11:27:00,112873,115199,107927,109415,60
01.09.2020,11:28:00,114236,115239,108057,115141,63
01.09.2020,11:29:00,113442,115299,107984,108285,81
01.09.2020,11:30:00,109581,115282,107954,108173,3
01.09.2020,11:31:00,111385,115298,107932,112642,7
01.09.2020,11:32:00,109838,114968,107939,112465,31
01.09.2020,11:33:00,111578,115212,108321,113713,86
01.09.2020,11:34:00,108827,115073,108078,113713,14
01.09.2020,11:35:00,111183,115127,108191,114408,58
01.09.2020,11:36:00,110144,115269,107906,107995,96
01.09.2020,11:37:00,110292,115020,108077,113730,73
01.09.2020,11:38:00,111853,115273,107910,111129,81
01.09.2020,11:39:00,115269,115269,107933,110922,22
01.09.2020,11:40:00,108639,115097,107903,110842,77
01.09.2020,11:41:00,112949,115266,107956,111419,11
01.09.2020,11:42:00,108998,115298,108040,111974,37
01.09.2020,11:43:00,111851,115221,107971,113110,88
01.09.2020,11:44:00,112742,115245,108205,108720,19
01.09.2020,11:45:00,115154,115238,108068,108315,73
01.09.2020,11:46:00,114257,115178,107930,113826,86
01.09.2020,11:47:00,110156,115272,107973,111195,62
01.09.2020,11:48:00,110921,115219,107966,111506,70
01.09.2020,11:49:00,108193,115277,107946,110134,72
01.09.2020,11:50:00,114715,115201,107943,110404,26
01.09.2020,11:51:00,108673,115291,108135,108226,88
01.09.2020,11:52:00,114683,115170,107967,114597,82
01.09.2020,11:53:00,111286,115141,108142,114681,38
01.09.2020,11:54:00,112558,115163,107951,112110,56
01.09.2020,11:55:00,110911,115280,107953,114159,67
01.09.2020,11:56:00,109556,115111,107967,110522,54
01.09.2020,11:57:00,112055,115287,108008,112251,91
