ID;DISTANCE;STOP_COUNT;COST;FITNESS;INTERNET;PETS_ALLOWED;ADDITIONAL_INFO
1;13;12;30000;22;3;Да;Детские игровые площадки, зона отдыха с качелями, площадка для выгула собак, футбольное поле и волейбольно-баскетбольная площадка.
2;16;5;36000;3;1;Да;
3;11;1;30000;15;0;Нет;
4;24;1;54000;17;2;Да;
5;25;12;25000;22;4;Да;В пешей доступности Муринский парк, Сад «Прометей», сквер Конашевича и другие зоны отдыха
6;23;3;45000;21;1;Нет;
7;21;12;25000;11;1;Да;Исторический центр Санкт-Петербурга.
8;15;3;47000;27;0;Да;
9;8;1;28000;15;0;Да;
10;8;11;21000;6;1;Да;Внутренний двор с игровыми и спортивными зонами для отдыха, огороженная дрессировочная площадка для собак.
11;20;3;56000;28;4;Нет;
12;21;5;25000;6;3;Нет;
13;7;9;51000;11;2;Да;
14;15;11;45000;15;4;Да;
15;3;3;55000;24;1;Да;Парк отдыха со специально оборудованными зонами для игры с домашними питомцами.
16;21;11;30000;29;0;Да;
17;6;1;57000;5;1;Да;Панорама с видом на парк Сосновка. 
18;29;2;39000;11;2;Нет;
19;9;12;29000;10;4;Нет;
20;4;8;49000;6;0;Да;
21;9;5;22000;4;3;Да;
22;7;11;30000;10;1;Да;
23;18;7;28000;23;4;Да;Огороженная площадка для дрессировки собак на территории парка отдыха.
24;18;8;21000;14;3;Да;
25;11;12;20000;10;2;Да;
26;6;2;59000;18;4;Да;
27;11;1;44000;28;1;Да;В пешей доступности Муринский парк, Сад «Прометей», сквер Конашевича и другие зоны отдыха
28;12;3;31000;29;1;Да;
29;7;10;58000;6;3;Да;
30;15;10;52000;15;1;Да;
31;7;4;31000;20;1;Да;
32;29;11;59000;24;3;Да;
33;8;4;58000;24;3;Да;
34;10;1;22000;10;0;Да;
35;27;7;49000;21;4;Да;
36;16;2;35000;22;2;Да;Панорама с видом на парк Сосновка. 
37;4;4;39000;20;1;Да;Исторический центр Санкт-Петербурга.
38;16;1;52000;3;2;Да;
39;9;10;23000;24;1;Да;
40;14;7;52000;8;2;Да;
41;23;1;40000;9;3;Нет;Детские игровые площадки, зона отдыха с качелями, площадка для выгула собак, футбольное поле и волейбольно-баскетбольная площадка.
42;16;11;31000;28;1;Да;
43;8;3;59000;23;0;Да;
44;23;7;42000;13;4;Да;
45;13;12;49000;16;4;Нет;Панорама с видом на парк Сосновка. 
46;26;3;20000;28;1;Да;Огромная продуманная территория с тематическими зонами, а также 2 муниципальных детских сада и школа, ветклиника для четвероногих питомцев.
47;5;6;58000;12;3;Да;
48;6;3;35000;23;3;Да;Внутренний двор с ландшафтным озеленением, игровыми и спортивными зонами для отдыха, площадка для выгула собак.
49;12;4;37000;19;0;Да;
50;19;6;47000;23;4;Нет;
51;5;10;32000;24;4;Да;
52;3;11;22000;20;1;Да;
53;28;11;37000;21;0;Да;
54;26;3;53000;5;3;Нет;Для прогулки и тренировок с любимыми четвероногими доступна благоустроенная придомовая территория.
55;11;8;24000;5;1;Да;Внутренний двор с ландшафтным озеленением, игровыми и спортивными зонами для отдыха, площадка для выгула собак.
56;8;7;45000;13;0;Да;
57;8;6;41000;25;1;Нет;
58;6;4;38000;8;1;Нет;Исторический центр Санкт-Петербурга.
59;5;7;46000;13;1;Нет;
60;10;12;54000;29;0;Да;
61;21;8;27000;23;0;Да;
62;6;11;49000;15;1;Да;
63;29;5;21000;23;2;Да;В ближайшем окружении работают детские сады, школы, гимназии, спортклубы, бассейны, супермаркеты, рестораны, банк.  В пешей доступности – зелёные набережные рек Охта и Оккервиль, а также благоустроенные парки: Ладожский, Малоохтинский и «Малиновка»
64;5;8;57000;6;4;Да;Dog-friendly инфраструктура (магазин, кафе, грумминг-салон)
65;8;12;25000;14;3;Да;Всепогодные игровые площадки и беседки, места для спорта, прогулок, выгула собак
66;10;10;59000;29;3;Да;Внутренний двор с игровыми и спортивными зонами для отдыха, огороженная дрессировочная площадка для собак.
67;20;2;42000;21;0;Да;
68;17;1;59000;10;4;Да;
69;7;8;52000;29;3;Да;В ближайшем окружении работают детские сады, школы, гимназии, спортклубы, бассейны, супермаркеты, рестораны, банк.  В пешей доступности – зелёные набережные рек Охта и Оккервиль, а также благоустроенные парки: Ладожский, Малоохтинский и «Малиновка»
70;9;9;40000;17;3;Нет;
71;8;4;37000;11;3;Да;Огороженная площадка для дрессировки собак на территории парка отдыха.
72;10;4;29000;26;3;Да;
73;5;10;32000;8;3;Да;Развитая инфраструктура района
74;13;9;24000;19;4;Нет;Тематические зоны во дворе: всепогодные игровые площадки и беседки, места для уединенного отдыха, спорта, прогулок
75;25;5;59000;16;2;Да;
76;13;1;26000;14;0;Да;
77;29;4;21000;10;0;Да;
78;15;5;36000;10;2;Нет;Исторический центр Санкт-Петербурга.
79;18;11;44000;21;4;Да;
80;13;12;57000;9;3;Да;
81;18;5;35000;8;0;Да;
82;20;4;51000;25;3;Да;
83;6;10;55000;17;3;Да;
84;14;6;37000;4;4;Да;
85;27;1;57000;28;2;Да;Подземный паркинг
86;22;8;45000;24;0;Да;
87;8;4;57000;16;2;Да;Огромная продуманная территория с тематическими зонами, а также 2 муниципальных детских сада и школа, ветклиника для четвероногих питомцев.
88;18;5;40000;26;2;Да;
89;16;3;25000;28;2;Да;
90;12;4;34000;7;2;Да;Развитая инфраструктура района
91;25;10;29000;3;1;Да;Для прогулки и тренировок с любимыми четвероногими доступна благоустроенная придомовая территория.
92;11;5;52000;9;0;Нет;
93;11;12;53000;22;0;Да;
94;14;8;36000;3;4;Да;Находится в историческом районе сталинской застройки «Ланской» в окружении многочисленных парков. 
95;18;7;59000;11;2;Да;
96;28;2;36000;16;0;Да;
97;14;7;28000;18;4;Да;Подземный паркинг
98;10;4;30000;27;3;Да;
